section;p_nr;p_title;p_room;p_day;p_time;p_chair;p_discussant;authors;title
Political Behavior;1009;The Politics of Social Media;MP6-1;Thursday;09:00;Christina Gahn;Simon Munzert;Clint Claessen, Maxime Walder, Anthea Alberto;Picture-perfect: On the relationship between party leader visibility and voting during party leader elections
Political Behavior;1009;The Politics of Social Media;MP6-1;Thursday;09:00;Christina Gahn;Simon Munzert;Gloria Gennaro, Laurenz Derksen, Andrew Guess, Dominik Hangartner;Suspensions of hateful users on Twitter and its consequences for online behavior
Political Behavior;1009;The Politics of Social Media;MP6-1;Thursday;09:00;Christina Gahn;Simon Munzert;Felix Schmidt, Sebastian Stier, Frank Mangold;Breaking structural inequalities? Exposure to political news within Facebook
Political Behavior;1009;The Politics of Social Media;MP6-1;Thursday;09:00;Christina Gahn;Simon Munzert;Mads Hove;Mapping the Ideology of Targeted Advertisements on Social Media
Political Behavior;1009;The Politics of Social Media;MP6-1;Thursday;09:00;Christina Gahn;Simon Munzert;Romain Lachat, Can Zengin, Ákos Szegőfi;How does ID verification on social media influence political and social behavior?
Public Opinion and Political Communication;1412;Group Appeals and Political Persuasion;MP6-3;Thursday;09:00;Gilad Hurvitz;Peter Langsæther;Magdalena Breyer, Robin Weisser, Denise Traber;The mobilizing effect of class appeals on the new and old working class
Public Opinion and Political Communication;1412;Group Appeals and Political Persuasion;MP6-3;Thursday;09:00;Gilad Hurvitz;Peter Langsæther;Mirko Wegemann;Who is more persuasive? How social group cues affect political persuasion in policy justifications.
Public Opinion and Political Communication;1412;Group Appeals and Political Persuasion;MP6-3;Thursday;09:00;Gilad Hurvitz;Peter Langsæther;Christoffer H. Dausgaard, Frederik Hjorth;Group Appeals and the Origins of Party Reputations
Public Opinion and Political Communication;1412;Group Appeals and Political Persuasion;MP6-3;Thursday;09:00;Gilad Hurvitz;Peter Langsæther;Konstantin Vössing, Diana Burlacu, Eva Krejcova;Conflicts over policies of solidarity: How justifications based on groups and values shape support for justified policies and justifying politicians
Public Opinion and Political Communication;1412;Group Appeals and Political Persuasion;MP6-3;Thursday;09:00;Gilad Hurvitz;Peter Langsæther;Elisa Deiss-Helbig, Isabelle Guinaudeau, Theres Matthieß;Group Politics Unveiled: Examining Voters’ Reactions to Group-Based Appeals
Public Opinion and Political Communication;1424;The Threat of AI;MP6-5;Thursday;09:00;Emma Hoes;Isadora Borges Monroy;Emma Hoes, Fabrizio Gilardi;From Existential Threats to Immediate Harms: The Impact of AI Media Narratives
Public Opinion and Political Communication;1424;The Threat of AI;MP6-5;Thursday;09:00;Emma Hoes;Isadora Borges Monroy;Valeria Vuk, Fabrizio Gilardi, Cristina Sarasua;Addressing Self-Selection Bias in Deliberative Democracy: An Argument Bot for More Diverse, Equal and Inclusive Deliberation
Public Opinion and Political Communication;1424;The Threat of AI;MP6-5;Thursday;09:00;Emma Hoes;Isadora Borges Monroy;Alberto Parmigiani, Giacomo Battiston, Federico Boffa, Eugenio Levi, Steven Stillman;Will robots and Artificial Intelligence steal your job? A survey on the political economy of technological change
Public Opinion and Political Communication;1424;The Threat of AI;MP6-5;Thursday;09:00;Emma Hoes;Isadora Borges Monroy;Zack Grant, Jane Green, Geoff Evans, Gaetano Inglese;The Expansion of Artificial Intelligence: Public Attitudes and Political Risks
Public Opinion and Political Communication;1424;The Threat of AI;MP6-5;Thursday;09:00;Emma Hoes;Isadora Borges Monroy;Erick Stivens Padilla-Galviz;Tech Waves and Political Tides: A Comprehensive Analysis of Robotization, ICT, and AI Influence on Radical Right Voting
Party Politics;1802;Party Manifestos;MP6-2;Thursday;09:00;Jonathan Slapin;Rosa Navarrete;Pablo Sallabera, Laura Cabeza, Braulio Gómez;Who is the greenest? Minority nationalist parties in Spain and environmental salience
Party Politics;1802;Party Manifestos;MP6-2;Thursday;09:00;Jonathan Slapin;Rosa Navarrete;Annika Werner, Fabian Habersack;How do parties balance responsiveness with ideological continuity? Investigating parties’ change in ideological positions along core and peripheral policy issues
Party Politics;1802;Party Manifestos;MP6-2;Thursday;09:00;Jonathan Slapin;Rosa Navarrete;Giuseppe Carteny, Daniela Braun;The salience of gender-related issues in European party manifestos
Party Politics;1802;Party Manifestos;MP6-2;Thursday;09:00;Jonathan Slapin;Rosa Navarrete;Rosa Navarrete, Daniela Braun, Giuseppe Carteny, Djamila Djabra, Alexander Hartland;Deviation or adaptation of parties’ policy preferences? Local parties’ manifestos in border regions
Political Sociology;2203;The Cement of Society;MP7-20;Thursday;09:00;Anja Neundorf;Jeremy Siow;Jeremy Siow;Open Classrooms Amplify the Positive Impact of Civic and Citizenship Education on Ethnic Tolerance
Political Sociology;2203;The Cement of Society;MP7-20;Thursday;09:00;Anja Neundorf;Jeremy Siow;Tarek Jaziri-Arjona, Jona De Jong;Clusters of Political Discontent? Heterogeneous Networks as a Buffer Against Radical Politics
Political Sociology;2203;The Cement of Society;MP7-20;Thursday;09:00;Anja Neundorf;Jeremy Siow;Tim Wappenhans, Felix Hartmann, Heike Klüver, Bernhard Clemm;The Impact of Citizen Assemblies on Democratic Resilience: Evidence from a Field Experiment
Political Sociology;2203;The Cement of Society;MP7-20;Thursday;09:00;Anja Neundorf;Jeremy Siow;Julian Erhardt;Voluntary associations as schools of democracy?
Political Sociology;2203;The Cement of Society;MP7-20;Thursday;09:00;Anja Neundorf;Jeremy Siow;Anja Neundorf, Steven Finkel, Ericka Rascon Ramirez, Aykut Ozturk;Supporting Democracy Through Social Media Advertisements? An Online Field Experiment in Turkey
International Relations;2105;Who Protests?;MP6-4;Thursday;09:00;Johannes Vüllers;Roos van der Haer;Maiyoraa Jeyabraba;Alleging Terrorism, Repressing Dissent: Examining the Impact of Armed Groups on State Responses to Nonviolent Resistance
International Relations;2105;Who Protests?;MP6-4;Thursday;09:00;Johannes Vüllers;Roos van der Haer;Finn Klebe;Accomplice or Spoiler? An Investigation of Time-Varying (In)formal Group Relations in Multi-Actor Conflict
International Relations;2105;Who Protests?;MP6-4;Thursday;09:00;Johannes Vüllers;Roos van der Haer;Roman Krtsch;Political Parties in Resistance Campaigns
